edgeID,ftCode,road_width,gradient,count,flood_ratio_pct,Rflood_pct,Rfall_young_pct,Rfall_old_pct,rf_base_pct,rf_fence_pct,rf_slope_pct,rf_width_pct
100144,0,3.0,-0.050705988009225676,24.0,100,100,0,0,0,0,0,0
100152,0,3.0,-0.003952067781172549,0.0,0,0,0,0,0,0,0,0
100153,0,5.5,0.0,6.0,25,25,0,0,0,0,0,0
100155,0,3.0,0.002292719205165929,0.0,0,0,0,0,0,0,0,0
100156,0,5.5,0.003226204275680183,0.0,0,0,0,0,0,0,0,0
100157,0,5.5,0.0,0.0,0,0,0,0,0,0,0,0
100158,0,5.5,-0.0013122080589383586,0.0,0,0,30,40,15,15,0,0
100159,0,5.5,0.0,0.0,0,0,0,0,0,0,0,0
100160,0,3.0,-0.02646762420062573,0.0,0,0,0,0,0,0,0,0
100161,0,3.0,0.01970247026704942,0.0,0,0,0,0,0,0,0,0
100163,0,5.5,0.0026207544364148486,23.0,96,96,0,0,0,0,0,0
100164,0,3.0,0.0,21.0,88,88,0,0,0,0,0,0
100165,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100166,0,3.0,0.0,5.0,21,21,0,0,0,0,0,0
100167,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100168,0,3.0,-0.0021002647115708557,0.0,0,0,0,0,0,0,0,0
100169,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100170,0,3.0,-0.0027228981518162532,0.0,0,0,0,0,0,0,0,0
100171,0,3.0,-0.0015125555336520534,24.0,100,100,0,0,0,0,0,0
100172,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100173,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100174,0,3.0,-0.0057134290101091825,11.0,46,46,0,0,0,0,0,0
100175,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100176,0,3.0,-0.0013981914216979778,0.0,0,0,0,0,0,0,0,0
100177,0,3.0,0.0,11.0,46,46,0,0,0,0,0,0
100178,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100179,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100180,0,3.0,-0.005996560451699317,24.0,100,100,0,0,0,0,0,0
100181,0,5.5,0.0,24.0,100,100,0,0,0,0,0,0
100182,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100184,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100186,0,3.0,0.0,0.0,0,0,40,50,15,15,0,10
100191,0,3.0,0.006592822987600587,24.0,100,100,35,45,10,15,0,10
100192,0,3.0,0.022254112073885148,24.0,100,100,35,45,10,15,0,10
100193,0,3.0,-0.011390041879792773,0.0,0,0,0,0,0,0,0,0
100195,0,3.0,0.0,24.0,100,100,35,45,10,15,0,10
100196,0,3.0,0.003725786672112734,24.0,100,100,35,45,10,15,0,10
100197,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100198,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100199,0,5.5,-0.0011782720873641862,24.0,100,100,0,0,0,0,0,0
100200,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100201,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100202,0,3.0,0.0016035944062905171,0.0,0,0,40,50,15,15,0,10
100203,0,5.5,-0.004707516823392431,0.0,0,0,0,0,0,0,0,0
100204,0,3.0,0.0,0.0,0,0,40,50,15,15,0,10
100205,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100206,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100207,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100208,0,3.0,0.0,14.0,58,58,0,0,0,0,0,0
100209,0,5.5,0.0,24.0,100,100,0,0,0,0,0,0
100210,0,3.0,0.0,24.0,100,100,40,50,15,15,0,10
100211,0,3.0,0.0020846932275843948,24.0,100,100,0,0,0,0,0,0
100212,0,5.5,-0.0020749591935420595,24.0,100,100,0,0,0,0,0,0
100213,0,3.0,0.0032460129989720005,8.0,33,33,0,0,0,0,0,0
100214,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100215,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100216,0,3.0,0.002797359435347236,0.0,0,0,0,0,0,0,0,0
100218,0,5.5,-0.002289287883116435,24.0,100,100,0,0,0,0,0,0
100219,0,3.0,-0.0019246689864957807,0.0,0,0,35,45,10,15,0,10
100220,0,3.0,0.002959565466989983,0.0,0,0,0,0,0,0,0,0
100221,0,3.0,-0.004104698044493831,0.0,0,0,0,0,0,0,0,0
100222,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100223,0,3.0,-0.006510586338255428,0.0,0,0,0,0,0,0,0,0
100226,0,3.0,-0.019068113814580463,1.0,4,4,0,0,0,0,0,0
100227,0,3.0,0.003770604779750965,0.0,0,0,0,0,0,0,0,0
100229,0,3.0,0.02045858220161644,0.0,0,0,35,45,10,15,0,10
100230,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100231,0,3.0,-0.023459378907300196,0.0,0,0,0,0,0,0,0,0
100232,0,3.0,-0.008195761941003766,0.0,0,0,0,0,0,0,0,0
100233,0,3.0,0.0,0.0,0,0,35,45,10,15,0,10
100234,0,3.0,-0.024295467790559747,0.0,0,0,0,0,0,0,0,0
100235,0,5.5,0.01965582596897711,0.0,0,0,25,35,10,15,0,0
100236,0,3.0,0.005733106718102041,0.0,0,0,0,0,0,0,0,0
100237,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100238,0,3.0,0.002002956544609381,0.0,0,0,0,0,0,0,0,0
100239,0,3.0,-0.025353167406013496,0.0,0,0,0,0,0,0,0,0
100240,0,3.0,-0.02773523522732622,0.0,0,0,0,0,0,0,0,0
100241,0,3.0,-0.0059507631935042365,0.0,0,0,0,0,0,0,0,0
100242,0,3.0,-0.004033319508689494,0.0,0,0,0,0,0,0,0,0
100243,0,3.0,-0.001623002138642032,0.0,0,0,0,0,0,0,0,0
100244,0,5.5,0.008155698112432889,0.0,0,0,25,35,10,15,0,0
100245,0,3.0,-0.006991904220178082,0.0,0,0,0,0,0,0,0,0
100246,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100247,0,3.0,0.0027774089801378254,0.0,0,0,0,0,0,0,0,0
100248,0,3.0,0.005275159958427472,24.0,100,100,0,0,0,0,0,0
100249,0,3.0,0.002694186815614284,3.0,12,12,0,0,0,0,0,0
100250,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100251,0,3.0,-0.003602845813895599,0.0,0,0,0,0,0,0,0,0
100254,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100255,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100256,0,3.0,0.002227277837939809,0.0,0,0,0,0,0,0,0,0
100257,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100258,0,3.0,0.001880953641180821,0.0,0,0,0,0,0,0,0,0
100260,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100261,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100263,0,3.0,0.002271115570546241,24.0,100,100,0,0,0,0,0,0
100266,0,3.0,0.0,24.0,100,100,35,45,10,15,0,10
100268,0,3.0,0.0,24.0,100,100,0,0,0,0,0,0
100270,0,3.0,-0.019945180833745264,24.0,100,100,40,50,15,15,0,10
100273,0,3.0,0.0,24.0,100,100,35,45,10,15,0,10
100277,0,3.0,0.01641905550692721,0.0,0,0,0,0,0,0,0,0
100278,0,5.5,0.0,24.0,100,100,0,0,0,0,0,0
100279,0,3.0,-0.004023649699002222,24.0,100,100,0,0,0,0,0,0
100282,0,13.0,-0.03143049024616642,0.0,0,0,0,0,0,0,0,0
100283,0,13.0,0.0016450644997444417,24.0,100,100,25,35,10,15,0,0
100284,0,13.0,0.0010164676485324151,24.0,100,100,25,35,10,15,0,0
100285,0,13.0,0.0007077995830100332,0.0,0,0,0,0,0,0,0,0
100286,0,13.0,-0.015350356161004206,0.0,0,0,0,0,0,0,0,0
100289,0,5.5,0.0,0.0,0,0,0,0,0,0,0,0
100290,0,3.0,-0.0025051655998079175,0.0,0,0,0,0,0,0,0,0
100291,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100295,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
100309,0,3.0,-0.019306904788077485,5.0,21,26,25,35,5,10,0,10
100310,0,3.0,-0.0066133238180985,1.0,4,4,0,0,0,0,0,0
100311,0,3.0,0.02115915344103615,0.0,0,0,25,35,5,10,0,10
100313,0,5.5,0.0,24.0,100,100,0,0,0,0,0,0
100314,0,3.0,0.00046912318557743124,24.0,100,100,35,45,15,10,0,10
100315,0,3.0,-0.0022615182040428496,16.0,67,67,0,0,0,0,0,0
100316,0,3.0,0.01820828590699832,0.0,0,0,0,0,0,0,0,0
100317,0,3.0,0.024531695395315658,24.0,100,100,0,0,0,0,0,0
100319,0,3.0,0.025661518778812297,19.0,79,99,25,35,5,10,0,10
